approach,scenarioId,iteration,duration(nanosec),evl,etl,egx
Gradle,1,0,73528974,,,
Gradle,1,1,79233481,,,
Gradle,1,2,79753033,,,
Gradle,1,3,79763737,,,
Gradle,1,4,77673876,,,
Gradle,1,5,78152820,,,
Gradle,1,6,89999441,,,
Gradle,1,7,82421431,,,
Gradle,1,8,77715285,,,
Gradle,1,9,81425043,,,
Gradle,1,10,68666172,,,
Gradle,1,11,78677351,,,
Gradle,1,12,75958448,,,
Gradle,1,13,67893327,,,
Gradle,1,14,67765334,,,
Gradle,1,15,74463690,,,
Gradle,1,16,78189969,,,
Gradle,1,17,65388253,,,
Gradle,1,18,69238899,,,
Gradle,1,19,69156326,,,
Gradle,2,0,14035,,,
Gradle,2,1,10927103,,,
Gradle,2,2,12213268,,,
Gradle,2,3,12682642,,,
Gradle,2,4,12276768,,,
Gradle,2,5,11527612,,,
Gradle,2,6,11415068,,,
Gradle,2,7,12201689,,,
Gradle,2,8,10988547,,,
Gradle,2,9,11078211,,,
Gradle,2,10,21530,,,
Gradle,2,11,20580,,,
Gradle,2,12,12093629,,,
Gradle,2,13,15042,,,
Gradle,2,14,10473501,,,
Gradle,2,15,12621428,,,
Gradle,2,16,12760003,,,
Gradle,2,17,11274895,,,
Gradle,2,18,11996711,,,
Gradle,2,19,17935,,,
Gradle,3,0,83695746,,,
Gradle,3,1,92453069,,,
Gradle,3,2,93724566,,,
Gradle,3,3,78768643,,,
Gradle,3,4,78911284,,,
Gradle,3,5,90717060,,,
Gradle,3,6,80726137,,,
Gradle,3,7,76068008,,,
Gradle,3,8,79744211,,,
Gradle,3,9,86153032,,,
Gradle,3,10,96487388,,,
Gradle,3,11,90621697,,,
Gradle,3,12,88941255,,,
Gradle,3,13,86297414,,,
Gradle,3,14,93811294,,,
Gradle,3,15,76307274,,,
Gradle,3,16,93191720,,,
Gradle,3,17,85194805,,,
Gradle,3,18,87246615,,,
Gradle,3,19,94888202,,,
Gradle,4,0,21580326,,,
Gradle,4,1,22048304,,,
Gradle,4,2,21951269,,,
Gradle,4,3,21277925,,,
Gradle,4,4,22961156,,,
Gradle,4,5,20986820,,,
Gradle,4,6,22858330,,,
Gradle,4,7,22402320,,,
Gradle,4,8,22062371,,,
Gradle,4,9,23108919,,,
Gradle,4,10,22944391,,,
Gradle,4,11,23741085,,,
Gradle,4,12,22635033,,,
Gradle,4,13,23673546,,,
Gradle,4,14,22772109,,,
Gradle,4,15,10199867,,,
Gradle,4,16,20275213,,,
Gradle,4,17,22982304,,,
Gradle,4,18,11099204,,,
Gradle,4,19,22845408,,,
Gradle,5,0,71082930,,,
Gradle,5,1,77806880,,,
Gradle,5,2,70306644,,,
Gradle,5,3,55307222,,,
Gradle,5,4,65302690,,,
Gradle,5,5,67756788,,,
Gradle,5,6,66193554,,,
Gradle,5,7,56522278,,,
Gradle,5,8,55363221,,,
Gradle,5,9,58715431,,,
Gradle,5,10,56249759,,,
Gradle,5,11,66207550,,,
Gradle,5,12,59416154,,,
Gradle,5,13,61667137,,,
Gradle,5,14,65515259,,,
Gradle,5,15,52998332,,,
Gradle,5,16,57491031,,,
Gradle,5,17,58101654,,,
Gradle,5,18,53643482,,,
Gradle,5,19,67936042,,,
Gradle,6,0,6417,,,
Gradle,6,1,12561425,,,
Gradle,6,2,10687262,,,
Gradle,6,3,8619,,,
Gradle,6,4,11635242,,,
Gradle,6,5,11913373,,,
Gradle,6,6,5095,,,
Gradle,6,7,12570199,,,
Gradle,6,8,12598358,,,
Gradle,6,9,12574194,,,
Gradle,6,10,5446,,,
Gradle,6,11,11911113,,,
Gradle,6,12,5620,,,
Gradle,6,13,5779,,,
Gradle,6,14,12448515,,,
Gradle,6,15,5606,,,
Gradle,6,16,11106194,,,
Gradle,6,17,10441344,,,
Gradle,6,18,11816008,,,
Gradle,6,19,5465,,,
Gradle,7,0,10578124,,,
Gradle,7,1,10349077,,,
Gradle,7,2,12660680,,,
Gradle,7,3,11099921,,,
Gradle,7,4,10886656,,,
Gradle,7,5,11257539,,,
Gradle,7,6,5157,,,
Gradle,7,7,5376,,,
Gradle,7,8,10094807,,,
Gradle,7,9,12329889,,,
Gradle,7,10,5609,,,
Gradle,7,11,11079815,,,
Gradle,7,12,5001,,,
Gradle,7,13,10369618,,,
Gradle,7,14,10202073,,,
Gradle,7,15,7308,,,
Gradle,7,16,12168359,,,
Gradle,7,17,5257,,,
Gradle,7,18,11996628,,,
Gradle,7,19,19151,,,
