approach,scenarioId,iteration,duration(nanosec),evl,etl,egx
ModelFlow,1,0,150505602,31874784,22135098,96329262
ModelFlow,1,1,117410225,30448173,17832206,68986104
ModelFlow,1,2,129425716,28715603,19700162,80909030
ModelFlow,1,3,187734881,40768333,26009736,120843516
ModelFlow,1,4,117494988,27897014,18565922,70915179
ModelFlow,1,5,102593966,24684471,14256770,63580057
ModelFlow,1,6,114801525,23741223,14094912,76895371
ModelFlow,1,7,109309794,33482641,13344951,62406869
ModelFlow,1,8,103539082,23216321,12075566,68181374
ModelFlow,1,9,94871790,21964302,12958002,59816295
ModelFlow,1,10,103392278,21777921,13492821,68045849
ModelFlow,1,11,137594647,32012045,16669675,88839261
ModelFlow,1,12,94657950,21325564,11731984,61451143
ModelFlow,1,13,93534095,20919757,12621249,59866911
ModelFlow,1,14,91246153,21896038,11191326,58096069
ModelFlow,1,15,111052549,22038716,14129652,74754428
ModelFlow,1,16,114208245,26236562,25982032,61837045
ModelFlow,1,17,108184140,22386932,11828660,73873166
ModelFlow,1,18,101619244,22138822,12228977,67161447
ModelFlow,1,19,96968883,22695981,12195683,62010350
ModelFlow,2,0,7525780,2098983,1399335,3952241
ModelFlow,2,1,11890485,2496303,2898026,6088176
ModelFlow,2,2,8395705,2202349,1557029,4591214
ModelFlow,2,3,8489111,2122756,1603500,4710022
ModelFlow,2,4,8601896,2029669,1763378,4722520
ModelFlow,2,5,9038177,1823760,2014040,5122624
ModelFlow,2,6,8386215,2142181,1711911,4478875
ModelFlow,2,7,8131505,2537298,1647939,3894023
ModelFlow,2,8,14397815,2363721,2093026,9860145
ModelFlow,2,9,6968105,1811582,1320013,3794410
ModelFlow,2,10,11085953,2744344,2353953,5932197
ModelFlow,2,11,11695223,3320080,2442728,5864487
ModelFlow,2,12,9999930,2782368,2158282,4966249
ModelFlow,2,13,7532499,1714283,1558087,4217589
ModelFlow,2,14,8320861,2276064,1663562,4315633
ModelFlow,2,15,7778198,1884903,1835596,4006875
ModelFlow,2,16,6510687,1640954,1297300,3530580
ModelFlow,2,17,7487367,1896363,1408448,4136050
ModelFlow,2,18,7786081,1746481,1586344,4411118
ModelFlow,2,19,7634191,2090280,1534795,3945227
ModelFlow,3,0,149659255,33828164,16759621,99010350
ModelFlow,3,1,104563683,22275438,11980882,70222987
ModelFlow,3,2,101030086,18739231,10591505,71626666
ModelFlow,3,3,97181885,20947537,10001744,66186474
ModelFlow,3,4,93108701,21542883,10203383,61312580
ModelFlow,3,5,91403208,19987130,10644504,60694790
ModelFlow,3,6,121087746,21504067,10775906,88762178
ModelFlow,3,7,90242148,20199303,10432555,59561875
ModelFlow,3,8,96566683,20077634,11087750,65317651
ModelFlow,3,9,96828930,21365664,11295835,64116042
ModelFlow,3,10,94854674,20737828,10055987,64011425
ModelFlow,3,11,95948187,21080511,12263037,62554586
ModelFlow,3,12,121859568,23562897,12105147,86110193
ModelFlow,3,13,129694865,59265969,11475000,58896359
ModelFlow,3,14,98922222,20362525,8979205,69532631
ModelFlow,3,15,97425597,20173376,9669100,67540332
ModelFlow,3,16,94264853,20512104,9510421,64179348
ModelFlow,3,17,100510697,19354872,10504238,70600264
ModelFlow,3,18,95458036,19877080,9511964,66024368
ModelFlow,3,19,89436069,19245814,10018475,60125356
ModelFlow,4,0,21074303,1817165,13837901,5371937
ModelFlow,4,1,21751656,1589863,15088745,5030752
ModelFlow,4,2,21612613,1707329,14894085,4934599
ModelFlow,4,3,19763863,1738814,13280654,4693402
ModelFlow,4,4,21216075,1901623,14000220,5266040
